"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-1301_hsa-miR-1301-3p",83.5276626405538,-0.407902333941205,0.15498629179241,-2.6318607228022,0.00849186668394456,0.0222087479993387,"hsa-miR-1301-3p"
"hsa-mir-4433b_hsa-miR-4433b-5p",404.362931368262,-0.821947445284181,0.231334341184337,-3.55307145958593,0.000380761017408629,0.00163938771384271,"hsa-miR-4433b-5p"
"hsa-mir-4433b_hsa-miR-4433b-3p",44.1347658818397,-2.23469928451419,0.241007417119246,-9.27232576999283,1.8213041106394e-20,4.70503561915178e-18,"hsa-miR-4433b-3p"
"hsa-mir-4433_hsa-miR-4433-3p",17.6408220597857,-2.75184997446327,0.258642518891247,-10.6395885187785,1.94988532272926e-26,1.51116112511517e-23,"hsa-miR-4433-3p"
"hsa-mir-4433_hsa-miR-4433-5p",38.7504768587843,-1.0888490341342,0.27298693120792,-3.98864894123771,6.64506757832948e-05,0.000396148259477334,"hsa-miR-4433-5p"
"hsa-mir-4444-1_hsa-miR-4444",2.59712961126578,-0.855532005885395,0.297485185585564,-2.87588104329089,0.00402901520592254,0.0125401075686344,"hsa-miR-4444"
"hsa-mir-3130-2_hsa-miR-3130-3p",3.46689815322198,-0.767336991470401,0.278240029333519,-2.75782385916376,0.00581875424025948,0.0164581552416098,"hsa-miR-3130-3p"
"hsa-mir-6810_hsa-miR-6810-3p",3.57995778140781,-0.612286628351007,0.254711178161649,-2.40384671285383,0.0162235744774909,0.0377575682283948,"hsa-miR-6810-3p"
"hsa-mir-3194_hsa-miR-3194-5p",6.05241861704266,-1.17747694875654,0.241770517190026,-4.87022554462698,1.11470935085171e-06,1.27044080427952e-05,"hsa-miR-3194-5p"
"hsa-mir-296_hsa-miR-296-3p",8.1270453768201,-0.934425433423188,0.282854304698073,-3.3035574071274,0.000954664209558572,0.00369932381203946,"hsa-miR-296-3p"
"hsa-mir-133a-2_hsa-miR-133a-3p",58.6972081408361,-0.556858205353294,0.197451234999334,-2.82023156429066,0.00479890054754192,0.0142496089055363,"hsa-miR-133a-3p"
"hsa-mir-6813_hsa-miR-6813-5p",3.42477419823603,-0.940584201622707,0.273583095958156,-3.43802016834611,0.000585984052102666,0.00239019810726088,"hsa-miR-6813-5p"
"hsa-mir-3648_hsa-miR-3648",10.4377281502609,-1.13782730397271,0.310298440292653,-3.66688051315885,0.000245527452053282,0.00113942380443888,"hsa-miR-3648"
"hsa-mir-99a_hsa-miR-99a-3p",5.91384837769242,-0.831611808943446,0.227684302439789,-3.65247757545063,0.0002597222830482,0.00117710391439974,"hsa-miR-99a-3p"
"hsa-mir-6501_hsa-miR-6501-5p",2.42023517302496,-0.713121688157521,0.287179420731383,-2.48319216725682,0.0130210822415404,0.0315354335537306,"hsa-miR-6501-5p"
"hsa-mir-3198-1_hsa-miR-3198",3.14429478413427,-1.01137894664249,0.323487477636634,-3.12648561864441,0.00176909156824634,0.00612410265894139,"hsa-miR-3198"
"hsa-mir-3928_hsa-miR-3928-3p",27.9299684135695,-0.561253089920433,0.221074092701322,-2.53875559574817,0.0111247508643557,0.0279018832358437,"hsa-miR-3928-3p"
"hsa-mir-7109_hsa-miR-7109-5p",3.24596605849502,-1.53142035870928,0.34858638329557,-4.39323057955126,1.11678567906351e-05,8.83172348239001e-05,"hsa-miR-7109-5p"
"hsa-mir-33a_hsa-miR-33a-5p",655.722646713507,-0.711285588005453,0.188239028641484,-3.77862971955807,0.000157693701162103,0.000820218915440467,"hsa-miR-33a-5p"
